🥇 1st_place_medal 
🥈 2nd_place_medal 
🥉 3rd_place_medal 
🆎 AB_button_(blood_type) ab ab_button_blood_type
🇵🇷 Puerto_Rico flag_for_Puerto_Rico puerto_rico
🇶🇦 Qatar flag_for_Qatar qatar
🇷🇴 Romania flag_for_Romania romania
🇷🇺 Russia flag_for_Russia ru
🇷🇼 Rwanda flag_for_Rwanda rwanda
🇷🇪 Réunion flag_for_Réunion reunion
🔜 SOON_arrow soon soon_arrow
🆘 SOS_button sos sos_button
♐ Sagittarius sagittarius
🇼🇸 Samoa flag_for_Samoa samoa
🇸🇲 San_Marino flag_for_San_Marino san_marino
🎅 Santa_Claus santa santa_claus
🇨🇶 Sark flag_for_Sark
🇸🇦 Saudi_Arabia flag_for_Saudi_Arabia saudi_arabia
♏ Scorpio scorpius scorpio
🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland scotland
🇸🇳 Senegal flag_for_Senegal senegal
🇷🇸 Serbia flag_for_Serbia serbia
🇸🇨 Seychelles flag_for_Seychelles seychelles
🇸🇱 Sierra_Leone flag_for_Sierra_Leone sierra_leone
🇸🇬 Singapore flag_for_Singapore singapore
🇸🇽 Sint_Maarten flag_for_Sint_Maarten sint_maarten
🇸🇰 Slovakia flag_for_Slovakia slovakia
🇸🇮 Slovenia flag_for_Slovenia slovenia
🇸🇧 Solomon_Islands flag_for_Solomon_Islands solomon_islands
🇸🇴 Somalia flag_for_Somalia somalia
🇿🇦 South_Africa flag_for_South_Africa south_africa
🇬🇸 South_Georgia_&_South_Sandwich_Islands flag_for_South_Georgia_&_South_Sandwich_Islands south_georgia_south_sandwich_islands
🇰🇷 South_Korea flag_for_South_Korea kr
🇸🇸 South_Sudan flag_for_South_Sudan south_sudan
🇪🇸 Spain flag_for_Spain es
🇱🇰 Sri_Lanka flag_for_Sri_Lanka sri_lanka
🇧🇱 St._Barthélemy flag_for_St._Barthélemy st_barthelemy
🇸🇭 St._Helena flag_for_St._Helena st_helena
🇰🇳 St._Kitts_&_Nevis flag_for_St._Kitts_&_Nevis st_kitts_nevis
🇱🇨 St._Lucia flag_for_St._Lucia st_lucia
🇲🇫 St._Martin flag_for_St._Martin st_martin
🇵🇲 St._Pierre_&_Miquelon flag_for_St._Pierre_&_Miquelon st_pierre_miquelon
🇻🇨 St._Vincent_&_Grenadines flag_for_St._Vincent_&_Grenadines st_vincent_grenadines
🗽 Statue_of_Liberty statue_of_liberty
🇸🇩 Sudan flag_for_Sudan sudan
🇸🇷 Suriname flag_for_Suriname suriname
🇸🇯 Svalbard_&_Jan_Mayen flag_for_Svalbard_&_Jan_Mayen svalbard_jan_mayen
🇸🇪 Sweden flag_for_Sweden sweden
🇨🇭 Switzerland flag_for_Switzerland switzerland
🇸🇾 Syria flag_for_Syria syria
🇸🇹 São_Tomé_&_Príncipe flag_for_São_Tomé_&_Príncipe sao_tome_principe
🦖 T-Rex t-rex t_rex
🔝 TOP_arrow top top_arrow
🇹🇼 Taiwan flag_for_Taiwan taiwan
🇹🇯 Tajikistan flag_for_Tajikistan tajikistan
🇹🇿 Tanzania flag_for_Tanzania tanzania
♉ Taurus taurus
🇹🇭 Thailand flag_for_Thailand thailand
🇹🇱 Timor-Leste flag_for_Timor_Leste timor_leste
🇹🇬 Togo flag_for_Togo togo
🇹🇰 Tokelau flag_for_Tokelau tokelau
🗼 Tokyo_tower tokyo_tower
🇹🇴 Tonga flag_for_Tonga tonga
🇹🇹 Trinidad_&_Tobago flag_for_Trinidad_&_Tobago trinidad_tobago
🇹🇦 Tristan_da_Cunha flag_for_Tristan_da_Cunha tristan_da_cunha
🇹🇳 Tunisia flag_for_Tunisia tunisia
🇹🇲 Turkmenistan flag_for_Turkmenistan turkmenistan
🇹🇨 Turks_&_Caicos_Islands flag_for_Turks_&_Caicos_Islands turks_caicos_islands
🇹🇻 Tuvalu flag_for_Tuvalu tuvalu
🇹🇷 Türkiye flag_for_Turkey Turkey tr
🇺🇲 U.S._Outlying_Islands flag_for_U.S._Outlying_Islands us_outlying_islands
🇻🇮 U.S._Virgin_Islands flag_for_U.S._Virgin_Islands us_virgin_islands
🆙 UP!_button up up_button
🇺🇬 Uganda flag_for_Uganda uganda
🇺🇦 Ukraine flag_for_Ukraine ukraine
🇦🇪 United_Arab_Emirates flag_for_United_Arab_Emirates united_arab_emirates
🇬🇧 United_Kingdom flag_for_United_Kingdom gb uk
🇺🇳 United_Nations united_nations
🇺🇸 United_States flag_for_United_States us
🇺🇾 Uruguay flag_for_Uruguay uruguay
🇺🇿 Uzbekistan flag_for_Uzbekistan uzbekistan
🆚 VS_button vs vs_button
🇻🇺 Vanuatu flag_for_Vanuatu vanuatu
🇻🇦 Vatican_City flag_for_Vatican_City vatican_city
🇻🇪 Venezuela flag_for_Venezuela venezuela
🇻🇳 Vietnam flag_for_Vietnam vietnam
♍ Virgo virgo
🏴󠁧󠁢󠁷󠁬󠁳󠁿 Wales wales
🇼🇫 Wallis_&_Futuna flag_for_Wallis_&_Futuna wallis_futuna
🇪🇭 Western_Sahara flag_for_Western_Sahara western_sahara
🇾🇪 Yemen flag_for_Yemen yemen
💤 ZZZ zzz
🇿🇲 Zambia flag_for_Zambia zambia
🇿🇼 Zimbabwe flag_for_Zimbabwe zimbabwe
🧮 abacus 
🪗 accordion 
🩹 adhesive_bandage 
🎟️ admission_tickets tickets
🎟 admission_tickets tickets
🚡 aerial_tramway 
✈️ airplane 
✈ airplane 
🛬 airplane_arrival airplane_arriving flight_arrival
🛫 airplane_departure flight_departure
⏰ alarm_clock 
⚗️ alembic 
⚗ alembic 
👽 alien 
👾 alien_monster space_invader
🚑 ambulance 
🏈 american_football football
🏺 amphora 
🫀 anatomical_heart 
⚓ anchor 
💢 anger_symbol anger
😠 angry_face angry
👿 angry_face_with_horns imp
😧 anguished_face anguished
🐜 ant 
📶 antenna_bars signal_strength
😰 anxious_face_with_sweat cold_sweat
🚛 articulated_lorry 
🧑‍🎨 artist 
🎨 artist_palette art
😲 astonished_face astonished
🧑‍🚀 astronaut 
⚛️ atom_symbol 
⚛ atom_symbol 
🛺 auto_rickshaw 
🚗 automobile car red_car
🥑 avocado 
🪓 axe 
👶 baby 
👼 baby_angel angel
🍼 baby_bottle 
🐤 baby_chick 
🚼 baby_symbol 
👇 backhand_index_pointing_down point_down
👈 backhand_index_pointing_left point_left
👉 backhand_index_pointing_right point_right
👆 backhand_index_pointing_up point_up_2
🎒 backpack school_satchel
🥓 bacon 
🦡 badger 
🏸 badminton badminton_racquet_and_shuttlecock
🥯 bagel 
🛄 baggage_claim 
🥖 baguette_bread 
⚖️ balance_scale scales
⚖ balance_scale scales
🦲 bald 
🩰 ballet_shoes 
🎈 balloon 
🗳️ ballot_box_with_ballot ballot_box
🗳 ballot_box_with_ballot ballot_box
🍌 banana 
🪕 banjo 
🏦 bank 
📊 bar_chart 
💈 barber_pole barber
⚾ baseball 
🧺 basket 
🏀 basketball 
🦇 bat 
🛁 bathtub 
🔋 battery 
🏖️ beach_with_umbrella beach_umbrella
🏖 beach_with_umbrella beach_umbrella
😁 beaming_face_with_smiling_eyes grin
🫘 beans 
🐻 bear 
💓 beating_heart heartbeat
🦫 beaver 
🛏️ bed 
🛏 bed 
🍺 beer_mug beer
🪲 beetle 
🔔 bell 
🫑 bell_pepper 
🔕 bell_with_slash no_bell
🛎️ bellhop_bell 
🛎 bellhop_bell 
🍱 bento_box bento
🧃 beverage_box 
🚲 bicycle bike
👙 bikini 
🧢 billed_cap 
☣️ biohazard biohazard_sign
☣ biohazard biohazard_sign
🐦 bird 
🎂 birthday_cake birthday
🦬 bison 
🫦 biting_lip 
🐦‍⬛ black_bird raven crow rook
🐈‍⬛ black_cat 
⚫ black_circle 
🏴 black_flag waving_black_flag
🖤 black_heart 
⬛ black_large_square 
◾ black_medium-small_square black_medium_small_square
◼️ black_medium_square 
◼ black_medium_square 
✒️ black_nib 
✒ black_nib 
▪️ black_small_square 
▪ black_small_square 
🔲 black_square_button 
🌼 blossom 
🐡 blowfish 
📘 blue_book 
🔵 blue_circle large_blue_circle
💙 blue_heart 
🟦 blue_square 
🫐 blueberries 
🐗 boar 
💣 bomb 
🦴 bone 
🔖 bookmark 
📑 bookmark_tabs 
📚 books 
🪃 boomerang 
🍾 bottle_with_popping_cork champagne
💐 bouquet 
🏹 bow_and_arrow 
🥣 bowl_with_spoon 
🎳 bowling 
🥊 boxing_glove 
👦 boy 
🧠 brain 
🍞 bread 
🤱 breast-feeding breast_feeding
🧱 brick bricks
🌉 bridge_at_night 
💼 briefcase 
🩲 briefs swim_brief
🔆 bright_button high_brightness
🥦 broccoli 
⛓️‍💥 broken_chain 
⛓‍💥 broken_chain 
💔 broken_heart 
🧹 broom 
🟤 brown_circle 
🤎 brown_heart 
🍄‍🟫 brown_mushroom 
🟫 brown_square 
🧋 bubble_tea 
🫧 bubbles 
🪣 bucket 
🐛 bug 
🏗️ building_construction 
🏗 building_construction 
🚅 bullet_train bullettrain_front
🎯 bullseye dart
🌯 burrito 
🚌 bus 
🚏 bus_stop busstop
👤 bust_in_silhouette 
👥 busts_in_silhouette 
🧈 butter 
🦋 butterfly 
🌵 cactus 
📅 calendar date
🤙 call_me_hand 
🐪 camel dromedary_camel
📷 camera 
📸 camera_with_flash camera_flash
🏕️ camping 
🏕 camping 
🕯️ candle 
🕯 candle 
🍬 candy 
🥫 canned_food 
🛶 canoe 
🗃️ card_file_box 
🗃 card_file_box 
📇 card_index 
🗂️ card_index_dividers 
🗂 card_index_dividers 
🎠 carousel_horse 
🎏 carp_streamer flags
🪚 carpentry_saw 
🥕 carrot 
🏰 castle european_castle
🐈 cat cat2
🐱 cat_face cat
😹 cat_with_tears_of_joy joy_cat
😼 cat_with_wry_smile smirk_cat
⛓️ chains 
⛓ chains 
🪑 chair 
📉 chart_decreasing chart_with_downwards_trend
📈 chart_increasing chart_with_upwards_trend
💹 chart_increasing_with_yen chart
☑️ check_box_with_check ballot_box_with_check
☑ check_box_with_check ballot_box_with_check
✔️ check_mark heavy_check_mark
✔ check_mark heavy_check_mark
✅ check_mark_button white_check_mark
🧀 cheese_wedge cheese
🏁 chequered_flag checkered_flag
🍒 cherries 
🌸 cherry_blossom 
♟️ chess_pawn 
♟ chess_pawn 
🌰 chestnut 
🐔 chicken 
🧒 child 
🚸 children_crossing 
🐿️ chipmunk 
🐿 chipmunk 
🍫 chocolate_bar 
🥢 chopsticks 
⛪ church 
🚬 cigarette smoking
🎦 cinema 
Ⓜ️ circled_M m circled_m
Ⓜ circled_M m circled_m
🎪 circus_tent 
🏙️ cityscape 
🏙 cityscape 
🌆 cityscape_at_dusk city_sunset
🗜️ clamp compression
🗜 clamp compression
🎬 clapper_board clapper
👏 clapping_hands clap
🏛️ classical_building 
🏛 classical_building 
🍻 clinking_beer_mugs beers
🥂 clinking_glasses 
📋 clipboard 
🔃 clockwise_vertical_arrows arrows_clockwise
📕 closed_book 
📪 closed_mailbox_with_lowered_flag mailbox_closed
📫 closed_mailbox_with_raised_flag mailbox
🌂 closed_umbrella 
☁️ cloud 
☁ cloud 
🌩️ cloud_with_lightning 
🌩 cloud_with_lightning 
⛈️ cloud_with_lightning_and_rain thunder_cloud_and_rain
⛈ cloud_with_lightning_and_rain thunder_cloud_and_rain
🌧️ cloud_with_rain 
🌧 cloud_with_rain 
🌨️ cloud_with_snow 
🌨 cloud_with_snow 
🤡 clown_face 
♣️ club_suit clubs
♣ club_suit clubs
👝 clutch_bag pouch
