🥇 1st_place_medal 
🥈 2nd_place_medal 
🥉 3rd_place_medal 
🆎 AB_button_(blood_type) ab ab_button_blood_type
🙎 person_pouting pouting_face person_with_pouting_face
🙋 person_raising_hand raising_hand
🧑‍🦰 person_red_hair 
🚣 person_rowing_boat rowboat
🏃 person_running runner running
🏃‍➡️ person_running_facing_right 
🏃‍➡ person_running_facing_right 
🤷 person_shrugging shrug
🧍 person_standing standing_person
🏄 person_surfing surfer
🏊 person_swimming swimmer
🛀 person_taking_bath bath
💁 person_tipping_hand tipping_hand_person information_desk_person
🚶 person_walking walking
🚶‍➡️ person_walking_facing_right 
🚶‍➡ person_walking_facing_right 
👳 person_wearing_turban person_with_turban
🧑‍🦳 person_white_hair 
🫅 person_with_crown 
👲 person_with_skullcap man_with_gua_pi_mao
👰 person_with_veil 
🧑‍🦯 person_with_white_cane person_with_probing_cane
🧑‍🦯‍➡️ person_with_white_cane_facing_right 
🧑‍🦯‍➡ person_with_white_cane_facing_right 
🧫 petri_dish 
🐦‍🔥 phoenix 
⛏️ pick 
⛏ pick 
🛻 pickup_truck 
🥧 pie 
🐖 pig pig2
🐷 pig_face pig
🐽 pig_nose 
💩 pile_of_poo poop hankey shit
💊 pill 
🧑‍✈️ pilot 
🧑‍✈ pilot 
🤌 pinched_fingers 
🤏 pinching_hand 
🎍 pine_decoration bamboo
🍍 pineapple 
🏓 ping_pong table_tennis_paddle_and_ball
🩷 pink_heart 
🏴‍☠️ pirate_flag 
🏴‍☠ pirate_flag 
🍕 pizza 
🪅 piñata pinata
🪧 placard 
🛐 place_of_worship 
▶️ play_button arrow_forward
▶ play_button arrow_forward
⏯️ play_or_pause_button black_right_pointing_triangle_with_double_vertical_bar
⏯ play_or_pause_button black_right_pointing_triangle_with_double_vertical_bar
🛝 playground_slide 
🥺 pleading_face 
🪠 plunger 
➕ plus heavy_plus_sign
🐻‍❄️ polar_bear 
🐻‍❄ polar_bear 
🚓 police_car 
🚨 police_car_light rotating_light
👮 police_officer cop
🐩 poodle 
🎱 pool_8_ball 8ball
🍿 popcorn 
🏤 post_office european_post_office
📯 postal_horn 
📮 postbox 
🍲 pot_of_food stew
🚰 potable_water 
🥔 potato 
🪴 potted_plant 
🍗 poultry_leg 
💷 pound_banknote pound
🫗 pouring_liquid 
😾 pouting_cat 
📿 prayer_beads 
🫃 pregnant_man 
🫄 pregnant_person 
🤰 pregnant_woman 
🥨 pretzel 
🤴 prince 
👸 princess 
🖨️ printer 
🖨 printer 
🚫 prohibited no_entry_sign
🟣 purple_circle 
💜 purple_heart 
🟪 purple_square 
👛 purse 
📌 pushpin 
🧩 puzzle_piece jigsaw
🐇 rabbit rabbit2
🐰 rabbit_face rabbit
🦝 raccoon 
🏎️ racing_car 
🏎 racing_car 
📻 radio 
🔘 radio_button 
☢️ radioactive radioactive_sign
☢ radioactive radioactive_sign
🚃 railway_car 
🛤️ railway_track 
🛤 railway_track 
🌈 rainbow 
🏳️‍🌈 rainbow_flag 
🏳‍🌈 rainbow_flag 
🤚 raised_back_of_hand 
✊ raised_fist fist fist_raised
✋ raised_hand hand
🙌 raising_hands raised_hands
🐏 ram 
🐀 rat 
🪒 razor 
🧾 receipt 
⏺️ record_button black_circle_for_record
⏺ record_button black_circle_for_record
♻️ recycling_symbol recycle
♻ recycling_symbol recycle
🍎 red_apple apple
🔴 red_circle 
🧧 red_envelope 
❗ red_exclamation_mark heavy_exclamation_mark exclamation
🦰 red_hair 
❤️ red_heart heart
❤ red_heart heart
🏮 red_paper_lantern izakaya_lantern lantern
❓ red_question_mark question
🟥 red_square 
🔻 red_triangle_pointed_down small_red_triangle_down
🔺 red_triangle_pointed_up small_red_triangle
®️ registered 
® registered 
😌 relieved_face relieved
🎗️ reminder_ribbon 
🎗 reminder_ribbon 
🔁 repeat_button repeat
🔂 repeat_single_button repeat_one
⛑️ rescue_worker’s_helmet helmet_with_white_cross rescue_worker_helmet rescue_workers_helmet
⛑ rescue_worker’s_helmet helmet_with_white_cross rescue_worker_helmet rescue_workers_helmet
🚻 restroom 
◀️ reverse_button arrow_backward
◀ reverse_button arrow_backward
💞 revolving_hearts 
🦏 rhinoceros 
🎀 ribbon 
🍙 rice_ball 
🍘 rice_cracker 
🤜 right-facing_fist fist_right right_facing_fist
🗯️ right_anger_bubble 
🗯 right_anger_bubble 
➡️ right_arrow arrow_right
➡ right_arrow arrow_right
⤵️ right_arrow_curving_down arrow_heading_down
⤵ right_arrow_curving_down arrow_heading_down
↩️ right_arrow_curving_left leftwards_arrow_with_hook
↩ right_arrow_curving_left leftwards_arrow_with_hook
⤴️ right_arrow_curving_up arrow_heading_up
⤴ right_arrow_curving_up arrow_heading_up
🫱 rightwards_hand 
🫸 rightwards_pushing_hand 
💍 ring 
🛟 ring_buoy 
🪐 ringed_planet 
🍠 roasted_sweet_potato sweet_potato
🤖 robot robot_face
🪨 rock 
🚀 rocket 
🧻 roll_of_paper 
🗞️ rolled-up_newspaper rolled_up_newspaper newspaper_roll
🗞 rolled-up_newspaper rolled_up_newspaper newspaper_roll
🎢 roller_coaster 
🛼 roller_skate 
🤣 rolling_on_the_floor_laughing rofl
🐓 rooster 
🫜 root_vegetable 
🌹 rose 
🏵️ rosette 
🏵 rosette 
📍 round_pushpin 
🏉 rugby_football 
🎽 running_shirt running_shirt_with_sash
👟 running_shoe athletic_shoe
😥 sad_but_relieved_face disappointed_relieved
🧷 safety_pin 
🦺 safety_vest 
⛵ sailboat boat
🍶 sake 
🧂 salt 
🫡 saluting_face 
🥪 sandwich 
🥻 sari 
🛰️ satellite artificial_satellite
🛰 satellite artificial_satellite
📡 satellite_antenna satellite
🦕 sauropod 
🎷 saxophone 
🧣 scarf 
🏫 school 
🧑‍🔬 scientist 
✂️ scissors 
✂ scissors 
🦂 scorpion 
🪛 screwdriver 
📜 scroll 
🦭 seal 
💺 seat 
🙈 see-no-evil_monkey see_no_evil see_no_evil_monkey
🌱 seedling 
🤳 selfie 
🐕‍🦺 service_dog 
🕢 seven-thirty clock730 seven_thirty
🕖 seven_o’clock clock7 seven_oclock
🪡 sewing_needle 
🫨 shaking_face 
🥘 shallow_pan_of_food 
☘️ shamrock 
☘ shamrock 
🦈 shark 
🍧 shaved_ice 
🌾 sheaf_of_rice ear_of_rice
🛡️ shield 
🛡 shield 
⛩️ shinto_shrine 
⛩ shinto_shrine 
🚢 ship 
🌠 shooting_star stars
🛍️ shopping_bags shopping
🛍 shopping_bags shopping
🛒 shopping_cart 
🍰 shortcake cake
🩳 shorts 
🪏 shovel 
🚿 shower 
🦐 shrimp 
🔀 shuffle_tracks_button twisted_rightwards_arrows
🤫 shushing_face 
🤘 sign_of_the_horns metal
🧑‍🎤 singer 
🕡 six-thirty clock630 six_thirty
🕕 six_o’clock clock6 six_oclock
🛹 skateboard 
⛷️ skier 
⛷ skier 
🎿 skis ski
💀 skull 
☠️ skull_and_crossbones 
☠ skull_and_crossbones 
🦨 skunk 
🛷 sled 
😴 sleeping_face sleeping
😪 sleepy_face sleepy
🙁 slightly_frowning_face 
🙂 slightly_smiling_face 
🎰 slot_machine 
🦥 sloth 
🛩️ small_airplane 
🛩 small_airplane 
🔹 small_blue_diamond 
🔸 small_orange_diamond 
😻 smiling_cat_with_heart-eyes heart_eyes_cat smiling_cat_with_heart_eyes
☺️ smiling_face relaxed
☺ smiling_face relaxed
😇 smiling_face_with_halo innocent
😍 smiling_face_with_heart-eyes heart_eyes smiling_face_with_heart_eyes
🥰 smiling_face_with_hearts smiling_face_with_three_hearts
😈 smiling_face_with_horns smiling_imp
🤗 smiling_face_with_open_hands hugging_face hugs
😊 smiling_face_with_smiling_eyes blush
😎 smiling_face_with_sunglasses sunglasses
🥲 smiling_face_with_tear 
😏 smirking_face smirk
🐌 snail 
🐍 snake 
🤧 sneezing_face 
🏔️ snow-capped_mountain mountain_snow snow_capped_mountain
🏔 snow-capped_mountain mountain_snow snow_capped_mountain
🏂 snowboarder 
❄️ snowflake 
❄ snowflake 
☃️ snowman snowman_with_snow
☃ snowman snowman_with_snow
⛄ snowman_without_snow snowman
🧼 soap 
⚽ soccer_ball soccer
🧦 socks 
🍦 soft_ice_cream icecream
🥎 softball 
♠️ spade_suit spades
♠ spade_suit spades
🍝 spaghetti 
❇️ sparkle 
❇ sparkle 
🎇 sparkler 
✨ sparkles 
💖 sparkling_heart 
🙊 speak-no-evil_monkey speak_no_evil speak_no_evil_monkey
🔊 speaker_high_volume loud_sound
🔈 speaker_low_volume speaker
🔉 speaker_medium_volume sound
🗣️ speaking_head speaking_head_in_silhouette
🗣 speaking_head speaking_head_in_silhouette
💬 speech_balloon 
🚤 speedboat 
🕷️ spider 
🕷 spider 
🕸️ spider_web 
🕸 spider_web 
🗓️ spiral_calendar spiral_calendar_pad
🗓 spiral_calendar spiral_calendar_pad
🗒️ spiral_notepad spiral_note_pad
🗒 spiral_notepad spiral_note_pad
🐚 spiral_shell shell
🫟 splatter 
🧽 sponge 
🥄 spoon 
🚙 sport_utility_vehicle blue_car
🏅 sports_medal medal_sports
🐳 spouting_whale whale
🦑 squid 
😝 squinting_face_with_tongue stuck_out_tongue_closed_eyes
🏟️ stadium 
🏟 stadium 
⭐ star 
🤩 star-struck star_struck
☪️ star_and_crescent 
☪ star_and_crescent 
✡️ star_of_David star_of_david
✡ star_of_David star_of_david
🚉 station 
🍜 steaming_bowl ramen
🩺 stethoscope 
⏹️ stop_button black_square_for_stop
⏹ stop_button black_square_for_stop
🛑 stop_sign 
⏱️ stopwatch 
⏱ stopwatch 
📏 straight_ruler 
🍓 strawberry 
🧑‍🎓 student 
🎙️ studio_microphone 
🎙 studio_microphone 
🥙 stuffed_flatbread 
☀️ sun sunny
☀ sun sunny
⛅ sun_behind_cloud partly_sunny
🌥️ sun_behind_large_cloud white_sun_behind_cloud
🌥 sun_behind_large_cloud white_sun_behind_cloud
🌦️ sun_behind_rain_cloud white_sun_behind_cloud_with_rain
🌦 sun_behind_rain_cloud white_sun_behind_cloud_with_rain
🌤️ sun_behind_small_cloud white_sun_with_small_cloud
🌤 sun_behind_small_cloud white_sun_with_small_cloud
🌞 sun_with_face 
🌻 sunflower 
🕶️ sunglasses dark_sunglasses
🕶 sunglasses dark_sunglasses
🌅 sunrise 
🌄 sunrise_over_mountains 
🌇 sunset city_sunrise
🦸 superhero 
🦹 supervillain 
🍣 sushi 
🚟 suspension_railway 
🦢 swan 
💦 sweat_droplets sweat_drops
🕍 synagogue 
💉 syringe 
👕 t-shirt tshirt shirt t_shirt
🌮 taco 
🥡 takeout_box 
🫔 tamale 
🎋 tanabata_tree 
🍊 tangerine orange mandarin
🚕 taxi 
🧑‍🏫 teacher 
🍵 teacup_without_handle tea
🫖 teapot 
📆 tear-off_calendar calendar tear_off_calendar
🧑‍💻 technologist 
🧸 teddy_bear 
☎️ telephone phone
☎ telephone phone
📞 telephone_receiver 
🔭 telescope 
📺 television tv
🕥 ten-thirty clock1030 ten_thirty
🕙 ten_o’clock clock10 ten_oclock
🎾 tennis 
⛺ tent 
🧪 test_tube 
🌡️ thermometer 
🌡 thermometer 
🤔 thinking_face thinking
🩴 thong_sandal 
💭 thought_balloon 
🧵 thread 
🕞 three-thirty clock330 three_thirty
🕒 three_o’clock clock3 three_oclock
👎 thumbs_down thumbsdown _1 -1
👍 thumbs_up thumbsup +1
🎫 ticket 
🐅 tiger tiger2
🐯 tiger_face tiger
⏲️ timer_clock 
⏲ timer_clock 
😫 tired_face 
🚽 toilet 
🍅 tomato 
👅 tongue 
🧰 toolbox 
🦷 tooth 
🪥 toothbrush 
🎩 top_hat tophat
🌪️ tornado cloud_with_tornado
🌪 tornado cloud_with_tornado
🖲️ trackball 
🖲 trackball 
🚜 tractor 
™️ trade_mark tm
™ trade_mark tm
🚆 train train2
🚊 tram 
🚋 tram_car train
🏳️‍⚧️ transgender_flag 
🏳‍⚧️ transgender_flag 
🏳️‍⚧ transgender_flag 
🏳‍⚧ transgender_flag 
⚧️ transgender_symbol 
⚧ transgender_symbol 
🚩 triangular_flag triangular_flag_on_post
📐 triangular_ruler 
🔱 trident_emblem trident
🧌 troll 
🚎 trolleybus 
🏆 trophy 
🍹 tropical_drink 
🐠 tropical_fish 
🎺 trumpet 
🌷 tulip 
🥃 tumbler_glass 
🦃 turkey 
🐢 turtle 
🕧 twelve-thirty clock1230 twelve_thirty
🕛 twelve_o’clock clock12 twelve_oclock
🐫 two-hump_camel camel two_hump_camel
🕝 two-thirty clock230 two_thirty
💕 two_hearts 
🕑 two_o’clock clock2 two_oclock
☂️ umbrella open_umbrella
☂ umbrella open_umbrella
⛱️ umbrella_on_ground parasol_on_ground
⛱ umbrella_on_ground parasol_on_ground
☔ umbrella_with_rain_drops umbrella
😒 unamused_face unamused
🦄 unicorn unicorn_face
🔓 unlocked unlock
↕️ up-down_arrow arrow_up_down up_down_arrow
↕ up-down_arrow arrow_up_down up_down_arrow
↖️ up-left_arrow arrow_upper_left up_left_arrow
↖ up-left_arrow arrow_upper_left up_left_arrow
↗️ up-right_arrow arrow_upper_right up_right_arrow
↗ up-right_arrow arrow_upper_right up_right_arrow
⬆️ up_arrow arrow_up
⬆ up_arrow arrow_up
🙃 upside-down_face upside_down_face
🔼 upwards_button arrow_up_small
🧛 vampire 
🚦 vertical_traffic_light 
📳 vibration_mode 
✌️ victory_hand v
✌ victory_hand v
📹 video_camera 
🎮 video_game 
📼 videocassette vhs
🎻 violin 
🌋 volcano 
🏐 volleyball 
🖖 vulcan_salute raised_hand_with_part_between_middle_and_ring_fingers
🧇 waffle 
🌘 waning_crescent_moon 
🌖 waning_gibbous_moon 
⚠️ warning 
⚠ warning 
🗑️ wastebasket 
🗑 wastebasket 
⌚ watch 
🐃 water_buffalo 
🚾 water_closet wc
🔫 water_pistol gun
🌊 water_wave ocean
🍉 watermelon 
👋 waving_hand wave
〰️ wavy_dash 
〰 wavy_dash 
🌒 waxing_crescent_moon 
🌔 waxing_gibbous_moon moon
🙀 weary_cat scream_cat
😩 weary_face weary
💒 wedding 
🐋 whale whale2
🛞 wheel 
☸️ wheel_of_dharma 
☸ wheel_of_dharma 
♿ wheelchair_symbol wheelchair
🦯 white_cane probing_cane
⚪ white_circle 
❕ white_exclamation_mark grey_exclamation
🏳️ white_flag waving_white_flag
🏳 white_flag waving_white_flag
💮 white_flower 
🦳 white_hair 
🤍 white_heart 
⬜ white_large_square 
◽ white_medium-small_square white_medium_small_square
◻️ white_medium_square 
◻ white_medium_square 
❔ white_question_mark grey_question
▫️ white_small_square 
▫ white_small_square 
🔳 white_square_button 
🥀 wilted_flower 
🎐 wind_chime 
🌬️ wind_face wind_blowing_face
🌬 wind_face wind_blowing_face
🪟 window 
🍷 wine_glass 
🪽 wing 
😉 winking_face wink
😜 winking_face_with_tongue stuck_out_tongue_winking_eye
🛜 wireless 
🐺 wolf 
👩 woman 
👫 woman_and_man_holding_hands couple
👩‍🎨 woman_artist 
👩‍🚀 woman_astronaut 
👩‍🦲 woman_bald bald_woman
🧔‍♀️ woman_beard 
🧔‍♀ woman_beard 
🚴‍♀️ woman_biking biking_woman
🚴‍♀ woman_biking biking_woman
👱‍♀️ woman_blond_hair blonde_woman blond_haired_woman
👱‍♀ woman_blond_hair blonde_woman blond_haired_woman
⛹️‍♀️ woman_bouncing_ball basketball_woman bouncing_ball_woman
⛹‍♀️ woman_bouncing_ball basketball_woman bouncing_ball_woman
⛹️‍♀ woman_bouncing_ball basketball_woman bouncing_ball_woman
⛹‍♀ woman_bouncing_ball basketball_woman bouncing_ball_woman
🙇‍♀️ woman_bowing bowing_woman
🙇‍♀ woman_bowing bowing_woman
🤸‍♀️ woman_cartwheeling 
🤸‍♀ woman_cartwheeling 
🧗‍♀️ woman_climbing climbing_woman
🧗‍♀ woman_climbing climbing_woman
👷‍♀️ woman_construction_worker construction_worker_woman
👷‍♀ woman_construction_worker construction_worker_woman
👩‍🍳 woman_cook 
👩‍🦱 woman_curly_hair curly_haired_woman
💃 woman_dancing dancer
🕵️‍♀️ woman_detective female_detective
🕵‍♀️ woman_detective female_detective
🕵️‍♀ woman_detective female_detective
🕵‍♀ woman_detective female_detective
🧝‍♀️ woman_elf elf_woman
🧝‍♀ woman_elf elf_woman
🤦‍♀️ woman_facepalming 
🤦‍♀ woman_facepalming 
👩‍🏭 woman_factory_worker 
🧚‍♀️ woman_fairy fairy_woman
🧚‍♀ woman_fairy fairy_woman
👩‍🌾 woman_farmer 
👩‍🍼 woman_feeding_baby 
👩‍🚒 woman_firefighter 
🙍‍♀️ woman_frowning frowning_woman
🙍‍♀ woman_frowning frowning_woman
🧞‍♀️ woman_genie genie_woman
🧞‍♀ woman_genie genie_woman
🙅‍♀️ woman_gesturing_NO ng_woman no_good_woman woman_gesturing_no
🙅‍♀ woman_gesturing_NO ng_woman no_good_woman woman_gesturing_no
🙆‍♀️ woman_gesturing_OK ok_woman woman_gesturing_ok
🙆‍♀ woman_gesturing_OK ok_woman woman_gesturing_ok
💇‍♀️ woman_getting_haircut haircut_woman
💇‍♀ woman_getting_haircut haircut_woman
💆‍♀️ woman_getting_massage massage_woman
💆‍♀ woman_getting_massage massage_woman
🏌️‍♀️ woman_golfing golfing_woman
🏌‍♀️ woman_golfing golfing_woman
🏌️‍♀ woman_golfing golfing_woman
🏌‍♀ woman_golfing golfing_woman
💂‍♀️ woman_guard guardswoman
💂‍♀ woman_guard guardswoman
👩‍⚕️ woman_health_worker 
👩‍⚕ woman_health_worker 
🧘‍♀️ woman_in_lotus_position lotus_position_woman
🧘‍♀ woman_in_lotus_position lotus_position_woman
👩‍🦽 woman_in_manual_wheelchair 
👩‍🦽‍➡️ woman_in_manual_wheelchair_facing_right 
👩‍🦽‍➡ woman_in_manual_wheelchair_facing_right 
👩‍🦼 woman_in_motorized_wheelchair 
👩‍🦼‍➡️ woman_in_motorized_wheelchair_facing_right 
👩‍🦼‍➡ woman_in_motorized_wheelchair_facing_right 
🧖‍♀️ woman_in_steamy_room sauna_woman
🧖‍♀ woman_in_steamy_room sauna_woman
🤵‍♀️ woman_in_tuxedo 
🤵‍♀ woman_in_tuxedo 
👩‍⚖️ woman_judge 
👩‍⚖ woman_judge 
🤹‍♀️ woman_juggling 
🤹‍♀ woman_juggling 
🧎‍♀️ woman_kneeling kneeling_woman
🧎‍♀ woman_kneeling kneeling_woman
🧎‍♀️‍➡️ woman_kneeling_facing_right 
🧎‍♀‍➡️ woman_kneeling_facing_right 
🧎‍♀️‍➡ woman_kneeling_facing_right 
🧎‍♀‍➡ woman_kneeling_facing_right 
🏋️‍♀️ woman_lifting_weights weight_lifting_woman
🏋‍♀️ woman_lifting_weights weight_lifting_woman
🏋️‍♀ woman_lifting_weights weight_lifting_woman
🏋‍♀ woman_lifting_weights weight_lifting_woman
🧙‍♀️ woman_mage mage_woman
🧙‍♀ woman_mage mage_woman
👩‍🔧 woman_mechanic 
🚵‍♀️ woman_mountain_biking mountain_biking_woman
🚵‍♀ woman_mountain_biking mountain_biking_woman
👩‍💼 woman_office_worker 
👩‍✈️ woman_pilot 
👩‍✈ woman_pilot 
🤾‍♀️ woman_playing_handball 
🤾‍♀ woman_playing_handball 
🤽‍♀️ woman_playing_water_polo 
🤽‍♀ woman_playing_water_polo 
👮‍♀️ woman_police_officer policewoman
👮‍♀ woman_police_officer policewoman
🙎‍♀️ woman_pouting pouting_woman
🙎‍♀ woman_pouting pouting_woman
🙋‍♀️ woman_raising_hand raising_hand_woman
🙋‍♀ woman_raising_hand raising_hand_woman
👩‍🦰 woman_red_hair red_haired_woman
🚣‍♀️ woman_rowing_boat rowing_woman
🚣‍♀ woman_rowing_boat rowing_woman
🏃‍♀️ woman_running running_woman
🏃‍♀ woman_running running_woman
🏃‍♀️‍➡️ woman_running_facing_right 
🏃‍♀‍➡️ woman_running_facing_right 
🏃‍♀️‍➡ woman_running_facing_right 
🏃‍♀‍➡ woman_running_facing_right 
👩‍🔬 woman_scientist 
🤷‍♀️ woman_shrugging 
🤷‍♀ woman_shrugging 
👩‍🎤 woman_singer 
🧍‍♀️ woman_standing standing_woman
🧍‍♀ woman_standing standing_woman
👩‍🎓 woman_student 
🦸‍♀️ woman_superhero superhero_woman
🦸‍♀ woman_superhero superhero_woman
🦹‍♀️ woman_supervillain supervillain_woman
🦹‍♀ woman_supervillain supervillain_woman
🏄‍♀️ woman_surfing surfing_woman
🏄‍♀ woman_surfing surfing_woman
🏊‍♀️ woman_swimming swimming_woman
🏊‍♀ woman_swimming swimming_woman
👩‍🏫 woman_teacher 
👩‍💻 woman_technologist 
💁‍♀️ woman_tipping_hand sassy_woman tipping_hand_woman
💁‍♀ woman_tipping_hand sassy_woman tipping_hand_woman
🧛‍♀️ woman_vampire vampire_woman
🧛‍♀ woman_vampire vampire_woman
🚶‍♀️ woman_walking walking_woman
🚶‍♀ woman_walking walking_woman
🚶‍♀️‍➡️ woman_walking_facing_right 
🚶‍♀‍➡️ woman_walking_facing_right 
🚶‍♀️‍➡ woman_walking_facing_right 
🚶‍♀‍➡ woman_walking_facing_right 
👳‍♀️ woman_wearing_turban woman_with_turban
👳‍♀ woman_wearing_turban woman_with_turban
👩‍🦳 woman_white_hair white_haired_woman
🧕 woman_with_headscarf 
👰‍♀️ woman_with_veil bride_with_veil
👰‍♀ woman_with_veil bride_with_veil
👩‍🦯 woman_with_white_cane woman_with_probing_cane
👩‍🦯‍➡️ woman_with_white_cane_facing_right 
👩‍🦯‍➡ woman_with_white_cane_facing_right 
🧟‍♀️ woman_zombie zombie_woman
🧟‍♀ woman_zombie zombie_woman
👢 woman’s_boot boot womans_boot
👚 woman’s_clothes womans_clothes
👒 woman’s_hat womans_hat
👡 woman’s_sandal sandal womans_sandal
👭 women_holding_hands two_women_holding_hands
👯‍♀️ women_with_bunny_ears dancing_women
👯‍♀ women_with_bunny_ears dancing_women
🤼‍♀️ women_wrestling 
🤼‍♀ women_wrestling 
🚺 women’s_room womens womens_room
🪵 wood 
🥴 woozy_face 
🗺️ world_map 
🗺 world_map 
🪱 worm 
😟 worried_face worried
🎁 wrapped_gift gift
🔧 wrench 
✍️ writing_hand 
✍ writing_hand 
🩻 x-ray x_ray
🧶 yarn 
🥱 yawning_face 
🟡 yellow_circle 
💛 yellow_heart 
🟨 yellow_square 
💴 yen_banknote yen
☯️ yin_yang 
☯ yin_yang 
🪀 yo-yo yo_yo
🤪 zany_face 
🦓 zebra 
🤐 zipper-mouth_face zipper_mouth_face
🧟 zombie 
🇦🇽 Åland_Islands flag_for_Åland_Islands aland_islands
